Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,33n,
"C10, C13, C14, C15, C16, C17, C21, C22, C23, C24, C25, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C42, C5, C6",0603,29,100n,
"C11, C12, C26, C41, C43",0402,5,10u,
"C18, C19, C2, C20, C3, C9",0402,6,1u,
C7,0805,1,1.5u,
C8,1206,1,470n,
D1,LED_D5.0mm,1,LED,
DS1,NHDC12832A1ZFSWFBW3V3,1,NHD-C12832A1Z-FSW-FBW-3V3,
IC1,LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm,1,STM32C091CBT6,
J1,USB-A-SMD_BX-TYPE-A-MWT4P,1,~,
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
J3,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,Screw_Terminal_01x03,
"R1, R10, R11, R5, R8, R9",0603,6,1k,
R12,1206,1,1.5k,
R13,0402,1,825,
R14,0603,1,1.15k,
"R15, R16",0603,2,50,
"R17, R18, R23",0402,3,200,
"R2, R3, R4",0603,3,350,
R21,0603,1,10k,
R22,0402,1,5.1k,
"R6, R7",0805,2,100k,
SW1,SW_PUSH_6mm,1,SW_Push,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,9,TestPoint,
U1,TSSOP20_ST_MCH,1,MCP3561-E/ST,
U10,SOIC14_SL_MCH,1,MCP2221A-I/SL,
U11,DBV0006A_N,1,LM2664M6X/NOPB,
"U2, U3, U4, U7",DIP-8_W7.62mm,4,OP177GPZ,
U5,SOIC-20W_7.5x12.8mm_P1.27mm,1,AD630ARZ,
U6,D8_TEX,1,OPA2187IDR,
U8,RM_10_ADI,1,AD9833BRMZ,
U9,SOT-353_SC-70-5_Handsoldering,1,MIC5365-3.3YC5-TR,
"USBLC1, USBLC2",SOT-23-6,2,USBLC6-2SC6,
