Designator,Mid X,Mid Y,Rotation,Layer
C1,78.0,27.113943,270.0,top
C10,98.0,58.113943,90.0,top
C11,71.0,74.613943,180.0,top
C12,68.5,72.613943,90.0,top
C13,116.7375,41.613943,0.0,top
C14,116.7375,40.053943,0.0,top
C15,116.7375,38.563943,0.0,top
C16,116.7375,37.083943,0.0,top
C17,116.7375,35.613943,0.0,top
C18,118.0,33.613943,90.0,top
C19,118.0,30.613943,90.0,top
C2,61.0,32.613943,0.0,top
C20,118.0,27.633943,90.0,top
C21,116.8625,25.113943,180.0,top
C22,99.6375,44.113943,0.0,top
C23,83.5,55.751443,270.0,top
C24,82.0102,55.751643,270.0,top
C25,85.0,55.751643,270.0,top
C26,85.5,49.613943,270.0,top
C27,90.5,26.976443,90.0,top
C28,104.0,10.613943,270.0,top
C29,100.5,13.613943,180.0,top
C3,70.5,16.093943,270.0,top
C30,100.3625,10.613943,180.0,top
C31,35.5,57.476443,270.0,top
C32,68.5,57.476443,270.0,top
C33,51.5,57.476443,270.0,top
C34,26.1375,40.613943,0.0,top
C35,42.6375,40.613943,0.0,top
C36,59.3625,40.613943,180.0,top
C37,18.3625,82.613943,180.0,top
C38,40.0,67.613943,0.0,top
C39,56.5,28.613943,180.0,top
C4,81.5,29.251443,90.0,top
C40,50.57,15.276443,270.0,top
C41,91.5,78.133943,180.0,top
C42,105.1375,63.113943,0.0,top
C43,94.0,72.613943,180.0,top
C5,82.5,26.613943,0.0,top
C6,86.5,25.751443,90.0,top
C7,70.9625,26.113943,0.0,top
C8,71.5,29.613943,0.0,top
C9,94.02,75.613943,0.0,top
D1,141.73,56.113943,180.0,top
DS1,121.7775,29.613943,270.0,top
IC1,102.5,21.613943,0.0,top
J1,93.594127,85.295237,180.0,top
J2,97.96,39.063943,270.0,top
J3,13.0,45.613943,90.0,top
R1,74.5,21.113943,0.0,top
R10,50.0,37.026443,270.0,top
R11,62.4125,64.613943,180.0,top
R12,52.57,32.413943,0.0,top
R13,66.9325,25.613943,180.0,top
R14,68.0,29.113943,270.0,top
R15,44.25,77.0,90.0,top
R16,41.25,76.8375,270.0,top
R17,46.0975,81.613943,0.0,top
R18,47.0,76.8475,90.0,top
R2,17.9125,35.113943,0.0,top
R21,90.5,23.613943,90.0,top
R22,103.5,13.5,0.0,top
R23,139.5,75.711443,270.0,top
R3,19.0,31.113943,270.0,top
R4,17.5,55.613943,180.0,top
R5,30.5,68.613943,180.0,top
R6,46.0,65.113943,180.0,top
R7,30.5,65.613943,180.0,top
R8,37.5875,34.613943,0.0,top
R9,53.9125,64.613943,180.0,top
SW1,111.25,4.863943,180.0,top
TP1,102.0,78.613943,0.0,top
TP2,92.0,69.113943,0.0,top
TP3,78.0,32.613943,0.0,top
TP4,75.0,15.613943,0.0,top
TP5,50.0,81.613943,0.0,top
TP6,71.5,44.613943,0.0,top
TP7,107.5,13.113943,0.0,top
TP8,63.0,72.113943,0.0,top
TP9,18.5,64.613943,0.0,top
U1,83.09805,20.338944,0.0,top
U10,103.31,58.113943,90.0,top
U11,71.125001,72.163942,0.0,top
U2,29.505,52.113943,0.0,top
U3,45.505,52.113943,0.0,top
U4,62.505,52.113943,0.0,top
U5,47.785,23.763943,0.0,top
U6,67.5,20.613943,0.0,top
U7,29.5,76.108943,270.0,top
U8,83.0,50.113943,270.0,top
U9,90.67,73.963943,90.0,top
USBLC1,101.05,71.751443,90.0,top
USBLC2,99.95,30.976443,270.0,top
